count	word
2525	wohnt
2525	nervös
2525	kümmere
2524	quatsch
2522	schritt
2520	gefahren
2520	beine
2518	nimmst
2518	letztes
2510	stellt
2510	mary
2509	ermordet
2506	mai
2506	güte
2503	gibst
2501	küche
2501	beziehung
2500	eis
2498	stecken
2492	neun
2489	sauber
2488	wind
2484	sekunde
2483	mitnehmen
2483	entfernt
2480	armen
2478	schuhe
2476	drogen
2475	verstand
2471	sauer
2471	bekomme
2470	spannende
2469	schlampe
2464	vorne
2458	furchtbar
2453	sagtest
2452	übrig
2452	bill
2435	erhalten
2434	hängt
2431	entscheiden
2428	anruf
2426	kleid
2425	vorwärts
2417	ganzes
2415	gruppe
2414	geredet
2413	gegend
2413	erkennen
2408	schlechte
2408	mark
2408	major
2404	lag
2403	verstecken
2403	ungefähr
2400	schaut
2399	situation
2398	au
2395	brücke
2391	niemandem
2387	planeten
2387	kostet
2385	tiere
2383	hut
2377	meter
2374	entweder
2374	eier
2369	halb
2368	feiern
2366	wünsche
2363	statt
2361	versteht
2357	erledigen
2356	soweit
2355	adresse
2351	zeitung
2350	gefühle
2347	feind
2344	schuss
2343	zweite
2342	erster
2341	sergeant
2341	gegessen
2340	werfen
2340	überleben
2334	bewegt
2334	beschäftigt
2331	mussten
2327	stimmen
2327	billy
2325	aufgabe
2322	schließlich
2320	melden
2318	kannte
2313	leise
2307	händen
2306	vermisst
2305	verspreche
2302	gesund
2302	bisher
2296	beginnen
2295	j
2290	angefangen
2288	teilen
2287	polizist
2286	bericht
2285	gewartet
2282	mut
2278	drink
2278	allerdings
2277	übel
2272	rat
2272	gelassen
2272	beginnt
2270	glückwunsch
2267	gespielt
2266	witzig
2262	namens
2261	seines
2260	thomas
2258	klingelt
2252	koffer
2250	richter
2249	vergangenheit
2248	blumen
2245	g
2244	schloss
2243	brüder
2242	weinen
2241	bücher
2239	wünschen
2239	london
2238	entlang
2238	bein
2237	einverstanden
2234	fleisch
2232	vermutlich
2232	gleichen
2231	schläft
2231	robert
2230	hunde
2228	welchen
2228	schwierig
2228	größte
2227	tor
2227	hängen
2225	indem
2224	verhaftet
2222	spiele
2220	leisten
2219	pferde
2218	fang
2216	beschützen
2210	falsche
2209	zerstören
2208	drinnen
2205	gebäude
2202	besorgt
2198	träume
2194	gewusst
2192	schmerz
2191	männern
2189	position
2187	blöd
2185	szene
2184	unseres
2184	nah
2182	verantwortlich
2181	gemeinsam
2181	erfolg
2180	maschine
2179	helfe
2177	wüsste
2177	übernehmen
2168	hälfte
2168	betrunken
2167	falschen
2165	schreien
2165	fühlst
2164	sprach
2164	nahe
2162	verbrechen
2162	steig
2160	töte
2160	dachten
2159	schließen
2159	gefangen
2156	respekt
2153	danken
2150	hinaus
2150	bus
2148	freue
2147	überrascht
2147	ohren
2147	möglichkeit
2143	lord
2143	energie
2142	loch
2140	vogel
2140	sahen
2140	club
2139	geschlagen
2139	fahrt
2138	schützen
2135	monster
2130	besorgen
2129	aufhalten
2128	spur
2128	eurer
2122	sommer
2120	weißen
2120	hielt
2118	rennen
2118	falle
2117	agent
2116	spreche
2109	offensichtlich
2107	trägt
2107	charles
2103	lehrer
2103	freunden
2103	aussieht
2100	mission
2100	fragte
2097	untertitel
2097	bauen
2096	leiden
2095	schwierigkeiten
2094	besonderes
2093	treten
2089	auftrag
2087	verdienen
2086	bedeuten
2085	tier
2085	ehren
2084	radio
2082	befehle
2078	worüber
2077	fisch
2076	rom
2075	bekommst
2074	flasche
2072	unterschied
2063	erinnert
2062	aufpassen
2061	stehe
2061	gebeten
2060	mitten
2060	haar
2059	witze
2055	baum
2052	engel
2046	kapitän
2041	don
2039	bringst
2033	reichen
2032	entschieden
2030	lächerlich
2028	fragt
2025	keinem
2024	mond
2022	ecke
